204	433,623
187	50,35
170	1177,259
153	333,257
136	1201,80
119	1050,148
102	907,208
85	759,172
68	640,85
51	457,210
34	339,121
17	191,83
201	1007,620
184	51,385
167	1055,259
150	452,258
133	1168,146
116	1025,206
99	880,175
82	758,83
65	575,210
48	457,120
31	312,82
14	164,148
198	1246,432
181	130,352
164	934,260
147	572,262
130	1142,208
113	995,173
96	878,84
79	695,209
62	576,121
45	430,83
28	284,149
11	133,209
212	461,429
195	1246,412
178	199,311
161	814,259
144	694,260
127	1117,175
110	997,80
93	813,208
76	695,120
59	548,83
42	402,149
25	251,211
8	98,175
209	188,427
192	1288,211
175	1330,234
158	129,258
141	1235,173
124	1114,82
107	934,207
90	813,119
73	668,82
56	519,147
39	372,210
22	219,176
5	100,83
206	188,621
189	691,313
172	1257,260
155	252,260
138	1233,79
121	1051,209
104	932,119
87	788,83
70	640,148
53	490,209
36	338,175
19	216,82
2	234,36
203	460,621
186	48,57
169	1137,259
152	370,259
135	1170,207
118	1051,121
101	903,84
84	758,148
67	609,209
50	459,175
33	338,83
16	166,211
200	1046,623
183	92,386
166	1014,261
149	493,261
132	1171,118
115	1025,83
98	879,147
81	727,207
64	576,175
47	456,83
30	284,212
13	166,120
214	463,593
197	1244,421
180	130,313
163	898,258
146	612,260
129	1142,80
112	995,146
95	848,208
78	696,175
61	575,85
44	403,211
27	283,121
10	131,83
211	430,428
194	1238,396
177	247,313
160	774,262
143	694,233
126	1115,147
109	965,207
92	813,176
75	695,81
58	523,210
41	402,119
24	250,83
7	99,149
208	190,448
191	778,313
174	1328,260
157	169,259
140	1235,147
123	1082,210
106	931,171
89	813,83
72	642,209
55	522,119
38	371,84
21	218,149
4	285,61
205	219,621
188	123,35
171	1216,259
154	291,257
137	1201,209
120	1052,174
103	933,79
86	759,208
69	640,119
52	489,83
35	338,149
18	192,211
1	193,37
202	487,621
185	51,364
168	1096,260
151	412,260
134	1170,171
117	1052,84
100	879,209
83	759,119
66	607,82
49	456,148
32	311,210
15	167,176
199	1248,442
182	126,388
165	977,259
148	532,260
131	1172,81
114	996,207
97	878,115
80	727,83
63	576,147
46	431,209
29	283,176
12	165,83
213	464,450
196	1246,414
179	128,285
162	855,261
145	655,259
128	1116,209
111	997,118
94	842,81
77	695,147
60	549,209
43	402,175
26	284,84
9	100,212
210	217,429
193	1230,381
176	1330,208
159	774,287
142	1235,208
125	1114,120
108	964,81
91	813,145
74	669,208
57	521,175
40	401,83
23	218,211
6	100,121
207	189,590
190	735,314
173	1302,259
156	209,258
139	1233,120
122	1082,81
105	932,148
88	786,208
71	642,174
54	523,83
37	339,212
20	219,121
3	285,36
